3b76ce41-cc96-44a2-a764-6652ceb30d26,2020. 03. 18. 11:18:56,0,3a946e48-c0d1-4953-93fe-c7b98d6baa63,"12",
38e45679-0dcb-481d-a7d1-4a6d118503ba,2020. 03. 18. 11:19:10,0,3a946e48-c0d1-4953-93fe-c7b98d6baa63,"1212",
c6db7b09-7714-470c-a6d8-33e847240318,2020. 03. 18. 11:19:20,0,3a946e48-c0d1-4953-93fe-c7b98d6baa63,"ndwkndéwfhdsdáofhsdáofhswáfhweáf",
db93e646-bf0b-4f26-8fc8-d5fa2a1ebd40,2020. 03. 18. 11:23:54,0,3a946e48-c0d1-4953-93fe-c7b98d6baa63,"awtwtw",
3bb29b7c-40c5-4805-826a-689310ffd198,2020. 03. 18. 11:24:01,0,3a946e48-c0d1-4953-93fe-c7b98d6baa63,"aztwzaazzzz",
77f3a1c1-b0b8-4b4d-93d5-c82ec79047f7,2020. 03. 18. 11:26:13,0,3a946e48-c0d1-4953-93fe-c7b98d6baa63,"utolso",
3a4e9593-0621-498f-877c-0374d821df10,2020. 03. 18. 11:31:55,0,00000000-0000-0000-0000-000000000000,"egatwwt",
75d6cab8-4d88-4844-8f2d-cbedb5c0487a,2020. 03. 18. 11:36:38,0,00000000-0000-0000-0000-000000000000,"awzazw",
dfaa920e-074e-4673-badf-4bb1951f50c3,2020. 03. 18. 11:37:19,0,00000000-0000-0000-0000-000000000000,"utolso2",
7b116d56-641d-4b94-ac4e-03a27dcee245,2020. 03. 18. 11:38:16,0,00000000-0000-0000-0000-000000000000,"utolso2",
776eea4a-7a55-48a3-a7cc-01fcd811d51a,2020. 03. 18. 11:38:50,0,00000000-0000-0000-0000-000000000000,"utolso2",
a961baa1-e2a0-4ef2-b0cf-d439e4da0e24,2020. 03. 18. 11:50:11,0,3a946e48-c0d1-4953-93fe-c7b98d6baa63,"éawjtpjwtapawjawoajw",
